key,team_name
197815,Cuiabá
165545,Atlético-GO
9862,Goiás
172341,Ceará
1757,América-MG
8287,Fortaleza
104822,Avaí
10274,Juventude
172341,Ceará
197815,Cuiabá
9862,Goiás
1757,América-MG
165545,Atlético-GO
104822,Avaí
8287,Fortaleza
197815,Cuiabá
172341,Ceará
9862,Goiás
165545,Atlético-GO
10274,Juventude
8287,Fortaleza
1757,América-MG
104822,Avaí
1757,América-MG
8287,Fortaleza
104822,Avaí
172341,Ceará
165545,Atlético-GO
9862,Goiás
197815,Cuiabá
10274,Juventude
10274,Juventude
172341,Ceará
104822,Avaí
197815,Cuiabá
165545,Atlético-GO
1757,América-MG
9862,Goiás
8287,Fortaleza
104822,Avaí
172341,Ceará
9862,Goiás
10274,Juventude
8287,Fortaleza
165545,Atlético-GO
197815,Cuiabá
1757,América-MG
104822,Avaí
172341,Ceará
10274,Juventude
9862,Goiás
165545,Atlético-GO
8287,Fortaleza
1757,América-MG
197815,Cuiabá
172341,Ceará
104822,Avaí
9862,Goiás
8287,Fortaleza
165545,Atlético-GO
10274,Juventude
197815,Cuiabá
1757,América-MG
9862,Goiás
104822,Avaí
10274,Juventude
172341,Ceará
165545,Atlético-GO
1757,América-MG
8287,Fortaleza
197815,Cuiabá
172341,Ceará
9862,Goiás
165545,Atlético-GO
1757,América-MG
104822,Avaí
197815,Cuiabá
8287,Fortaleza
10274,Juventude
172341,Ceará
10274,Juventude
1757,América-MG
165545,Atlético-GO
104822,Avaí
197815,Cuiabá
9862,Goiás
8287,Fortaleza
9862,Goiás
104822,Avaí
197815,Cuiabá
10274,Juventude
165545,Atlético-GO
172341,Ceará
8287,Fortaleza
1757,América-MG
9862,Goiás
10274,Juventude
1757,América-MG
165545,Atlético-GO
197815,Cuiabá
8287,Fortaleza
172341,Ceará
104822,Avaí
104822,Avaí
9862,Goiás
165545,Atlético-GO
172341,Ceará
1757,América-MG
8287,Fortaleza
197815,Cuiabá
10274,Juventude
10274,Juventude
104822,Avaí
1757,América-MG
172341,Ceará
8287,Fortaleza
165545,Atlético-GO
197815,Cuiabá
9862,Goiás
172341,Ceará
197815,Cuiabá
8287,Fortaleza
10274,Juventude
104822,Avaí
1757,América-MG
165545,Atlético-GO
9862,Goiás
104822,Avaí
9862,Goiás
172341,Ceará
1757,América-MG
10274,Juventude
8287,Fortaleza
197815,Cuiabá
165545,Atlético-GO
104822,Avaí
165545,Atlético-GO
172341,Ceará
10274,Juventude
8287,Fortaleza
197815,Cuiabá
1757,América-MG
9862,Goiás
172341,Ceará
1757,América-MG
10274,Juventude
104822,Avaí
165545,Atlético-GO
9862,Goiás
8287,Fortaleza
197815,Cuiabá
10274,Juventude
165545,Atlético-GO
172341,Ceará
9862,Goiás
197815,Cuiabá
8287,Fortaleza
1757,América-MG
104822,Avaí
197815,Cuiabá
9862,Goiás
8287,Fortaleza
104822,Avaí
172341,Ceará
1757,América-MG
165545,Atlético-GO
10274,Juventude
1757,América-MG
8287,Fortaleza
172341,Ceará
197815,Cuiabá
10274,Juventude
165545,Atlético-GO
104822,Avaí
1757,América-MG
104822,Avaí
10274,Juventude
165545,Atlético-GO
172341,Ceará
197815,Cuiabá
9862,Goiás
8287,Fortaleza
9862,Goiás
1757,América-MG
172341,Ceará
8287,Fortaleza
165545,Atlético-GO
10274,Juventude
197815,Cuiabá
104822,Avaí
9862,Goiás
172341,Ceará
197815,Cuiabá
1757,América-MG
9862,Goiás
165545,Atlético-GO
104822,Avaí
10274,Juventude
8287,Fortaleza
104822,Avaí
9862,Goiás
10274,Juventude
1757,América-MG
172341,Ceará
8287,Fortaleza
165545,Atlético-GO
197815,Cuiabá
104822,Avaí
172341,Ceará
9862,Goiás
8287,Fortaleza
165545,Atlético-GO
10274,Juventude
1757,América-MG
197815,Cuiabá
104822,Avaí
1757,América-MG
165545,Atlético-GO
172341,Ceará
10274,Juventude
197815,Cuiabá
9862,Goiás
8287,Fortaleza
1757,América-MG
197815,Cuiabá
9862,Goiás
8287,Fortaleza
197815,Cuiabá
1757,América-MG
8287,Fortaleza
9862,Goiás
8287,Fortaleza
1757,América-MG
197815,Cuiabá
9862,Goiás
1757,América-MG
197815,Cuiabá
9862,Goiás
8287,Fortaleza
1757,América-MG
197815,Cuiabá
9862,Goiás
8287,Fortaleza
197815,Cuiabá
8287,Fortaleza
1757,América-MG
9862,Goiás
9862,Goiás
1757,América-MG
8287,Fortaleza
197815,Cuiabá
8287,Fortaleza
197815,Cuiabá
9862,Goiás
1757,América-MG
8287,Fortaleza
1757,América-MG
9862,Goiás
197815,Cuiabá
197815,Cuiabá
8287,Fortaleza
1757,América-MG
9862,Goiás
8287,Fortaleza
1757,América-MG
197815,Cuiabá
9862,Goiás
8287,Fortaleza
1757,América-MG
9862,Goiás
197815,Cuiabá
8287,Fortaleza
1757,América-MG
197815,Cuiabá
9862,Goiás
197815,Cuiabá
1757,América-MG
9862,Goiás
8287,Fortaleza
8287,Fortaleza
197815,Cuiabá
9862,Goiás
1757,América-MG
8287,Fortaleza
197815,Cuiabá
9862,Goiás
197815,Cuiabá
8287,Fortaleza
1757,América-MG
9862,Goiás
9862,Goiás
8287,Fortaleza
1757,América-MG
197815,Cuiabá
1757,América-MG
9862,Goiás
8287,Fortaleza
197815,Cuiabá
8287,Fortaleza
197815,Cuiabá
1757,América-MG
9862,Goiás
9862,Goiás
197815,Cuiabá
1757,América-MG
8287,Fortaleza
9862,Goiás
197815,Cuiabá
8287,Fortaleza
1757,América-MG
8287,Fortaleza
197815,Cuiabá
1757,América-MG
9862,Goiás
1757,América-MG
9862,Goiás
8287,Fortaleza
197815,Cuiabá
1757,América-MG
8287,Fortaleza
197815,Cuiabá
1757,América-MG
9862,Goiás
9862,Goiás
8287,Fortaleza
1757,América-MG
197815,Cuiabá
1757,América-MG
197815,Cuiabá
9862,Goiás
8287,Fortaleza
8287,Fortaleza
197815,Cuiabá
9862,Goiás
1757,América-MG
1757,América-MG
9862,Goiás
197815,Cuiabá
1757,América-MG
9862,Goiás
197815,Cuiabá
1757,América-MG
8287,Fortaleza
197815,Cuiabá
9862,Goiás
1757,América-MG
8287,Fortaleza
9862,Goiás
197815,Cuiabá
1757,América-MG
8287,Fortaleza
9862,Goiás
197815,Cuiabá
9862,Goiás
197815,Cuiabá
8287,Fortaleza
1757,América-MG
8287,Fortaleza
8287,Fortaleza
1757,América-MG
8287,Fortaleza
197815,Cuiabá
9862,Goiás
197815,Cuiabá
1757,América-MG
9862,Goiás
8287,Fortaleza
197815,Cuiabá
1757,América-MG
8287,Fortaleza
9862,Goiás
9862,Goiás
1757,América-MG
197815,Cuiabá
8287,Fortaleza
4201,Grorud
8421,Skeid
4393,Stjørdals Blink
6541,Mjøndalen
4201,Grorud
8421,Skeid
6541,Mjøndalen
4393,Stjørdals Blink
6541,Mjøndalen
4393,Stjørdals Blink
4201,Grorud
8421,Skeid
4201,Grorud
4393,Stjørdals Blink
6541,Mjøndalen
8421,Skeid
6541,Mjøndalen
4393,Stjørdals Blink
4201,Grorud
8421,Skeid
6541,Mjøndalen
6541,Mjøndalen
4393,Stjørdals Blink
8421,Skeid
4201,Grorud
4201,Grorud
6541,Mjøndalen
8421,Skeid
4393,Stjørdals Blink
8421,Skeid
4201,Grorud
6541,Mjøndalen
4393,Stjørdals Blink
6541,Mjøndalen
4201,Grorud
4393,Stjørdals Blink
8421,Skeid
4393,Stjørdals Blink
4201,Grorud
8421,Skeid
8421,Skeid
4393,Stjørdals Blink
4201,Grorud
6541,Mjøndalen
6541,Mjøndalen
8421,Skeid
4201,Grorud
4393,Stjørdals Blink
4201,Grorud
8421,Skeid
6541,Mjøndalen
4393,Stjørdals Blink
4393,Stjørdals Blink
6541,Mjøndalen
8421,Skeid
4201,Grorud
4393,Stjørdals Blink
8421,Skeid
4201,Grorud
6541,Mjøndalen
4201,Grorud
6541,Mjøndalen
8421,Skeid
4393,Stjørdals Blink
4201,Grorud
6541,Mjøndalen
4393,Stjørdals Blink
8421,Skeid
6541,Mjøndalen
8421,Skeid
4393,Stjørdals Blink
4201,Grorud
4393,Stjørdals Blink
4201,Grorud
6541,Mjøndalen
8421,Skeid
